trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
1602,05:47:00,05:47:00,148,1,0,0,0.0000
1602,05:53:00,05:53:00,32905,2,0,0,3.6538
1602,05:59:00,05:59:00,125,3,0,0,9.6248
1602,06:16:00,06:16:00,103,4,0,0,25.3610
1602,06:20:00,06:20:00,38,5,0,0,27.7278
1602,06:25:00,06:25:00,84,6,0,0,30.8036
1602,06:30:00,06:30:00,83,7,0,0,33.4072
1602,06:43:00,06:43:00,37953,8,0,0,45.3752
1602,06:49:00,06:49:00,107,9,0,0,47.8534
1602,06:56:00,06:56:00,38187,10,0,0,52.9222
1602,07:09:00,07:09:00,105,11,0,0,57.9102
1603,06:43:00,06:43:00,148,1,0,0,0.0000
1603,06:49:00,06:49:00,32905,2,0,0,3.6538
1603,06:55:00,06:55:00,125,3,0,0,9.6248
1603,07:12:00,07:12:00,103,4,0,0,25.3610
1603,07:16:00,07:16:00,38,5,0,0,27.7278
1603,07:21:00,07:21:00,84,6,0,0,30.8036
1603,07:26:00,07:26:00,83,7,0,0,33.4072
1603,07:39:00,07:39:00,37953,8,0,0,45.3752
1603,07:46:00,07:46:00,107,9,0,0,47.8534
1603,07:53:00,07:53:00,38187,10,0,0,52.9222
1603,08:07:00,08:07:00,105,11,0,0,57.9102
1604,08:10:00,08:10:00,148,1,0,0,0.0000
1604,08:16:00,08:16:00,32905,2,0,0,3.6538
1604,08:23:00,08:23:00,125,3,0,0,9.6248
1604,08:40:00,08:40:00,103,4,0,0,25.3610
1604,08:45:00,08:45:00,38,5,0,0,27.7278
1604,08:51:00,08:51:00,84,6,0,0,30.8036
1604,08:56:00,08:56:00,83,7,0,0,33.4072
1604,09:09:00,09:09:00,37953,8,0,0,45.3752
1604,09:16:00,09:16:00,107,9,0,0,47.8534
1604,09:23:00,09:23:00,38187,10,0,0,52.9222
1604,09:36:00,09:36:00,105,11,0,0,57.9102
